"Bienes","Años de Vida Útil ","Coeficiente %"
"Edificaciones","40 años","2.5%"
"Muebles y enseres","10 años","10.0%"
"Maquinaria en general","8 años","12.5%"
"Equipos e instalaciones","8 años","12.5%"
"Barcos y lanchas en general","10 años","10.0%"
"Vehiculos automotores","5 años","20.0%"
"Aviones","5 años","20.0%"
"Maquinaria para la construcción","5 años","20.0%"
"Maquinaria agrícola","4 años","25.0%"
"Animales de trabajo","4 años","25.0%"
"Herramientas en general","4 años","25.0%"
"Reproductores y hembras de pedigree o puros por cruza","8 años","12.5%"
"Equipos de computacion","4 años","25.0%"
"Canales de regadío y pozos","20 años","5.0%"
"Estanques, bañaderos y abrevaderos","10 años","10.0%"
"Alambrados, tranqueras y vallas","10 años","10.0%"
"Viviendas para el personal","20 años","5.0%"
"Muebles y enseres en las viviendas para el personal","10 años","10.0%"
"Silos, almacenes y galpones","20 años","5.0%"
"Tinglados y cobertizos de madera","5 años","20.0%"
"Tinglados y cobertizos de metal","10 años","10.0%"
"Instalaciones de electrificación y telefonía rurales","10 años","10.0%"
"Caminos interiores","10 años","10.0%"
"Caña de azúcar","5 años","20.0%"
"Vides","8 años","12.5%"
"Frutales","10 años","10.0%"
"Otras plantaciones (según experiencia del contribuyente)","",""
"Pozos Petroleros","5 años","20.0%"
"Líneas de Recolección de la industria petrolera","5 años","20.0%"
"Equipos de campo de la industria petrolera","8 años","12.5%"
"Plantas de Procesamiento de la industria petrolera","8 años","12.5%"
"Ductos de la industria petrolera","10 años","10.0%"
